Employee_ID,Store_ID,Total_Shifts,First_Clock_In,Last_Clock_Out,Total_Hours_Worked,Unpaid_Break_Hours,Paid_Break_Hours,Regular_Wages,Overtime_Wages,Total_Wages
1001101,1001,7,2026-06-02 11:04:48,2026-06-11 18:09:33,107.17,0.0,0.0,0.0,0.0,0.0
1001111,1001,9,2026-06-01 09:09:29,2026-06-11 18:01:56,59.13,0.0,0.0,0.0,0.0,0.0
1001401,1001,7,2026-06-01 10:35:25,2026-06-11 16:13:30,47.87,0.0,0.0,0.0,0.0,0.0
1001412,1001,6,2026-06-01 08:57:43,2026-06-10 18:05:40,45.37,0.0,0.0,0.0,0.0,0.0
1001501,1001,11,2026-06-01 15:37:58,2026-06-11 18:09:18,89.02,0.0,0.0,0.0,0.0,0.0
1001701,1001,5,2026-06-01 11:39:02,2026-06-10 16:27:22,24.73,0.0,0.0,0.0,0.0,0.0
1001901,1001,10,2026-06-01 11:21:20,2026-06-11 17:34:59,68.72,0.0,0.0,0.0,0.0,0.0
